names,ids,types,grade,director,addr,actor,year,comment
末路狂花,1291992,犯罪 / 剧情 / 惊悚,9.0,雷德利·斯科特,美国/英国/法国,吉娜·戴维斯 / 苏珊·萨兰登 / 哈威·凯特尔,20世纪90年代,303311
坠入,1890572,剧情 / 喜剧 / 奇幻 / 冒险,8.8,塔西姆·辛,美国/南非/印度,凯婷卡·安塔鲁 / 贾斯蒂恩·瓦戴尔 / 李·佩斯,21世纪00年代,139076
幸福终点站,1292274,喜剧 / 剧情 / 爱情,8.8,史蒂文·斯皮尔伯格,美国,汤姆·汉克斯 / 凯瑟琳·泽塔-琼斯 / 斯坦利·图齐,21世纪00年代,610238
情枭的黎明,1292646,犯罪 / 剧情 / 惊悚,8.7,布莱恩·德·帕尔玛,美国,阿尔·帕西诺 / 西恩·潘 / 佩内洛普·安·米勒,20世纪90年代,49806
铁拳男人,1418519,剧情 / 家庭 / 传记 / 运动,8.8,朗·霍华德,美国,罗素·克劳 / 蕾妮·齐薇格 / 保罗·吉亚玛提,21世纪00年代,57368
西西里的美丽传说,1292402,剧情 / 战争 / 情色,8.9,朱塞佩·托纳多雷,意大利/美国,莫妮卡·贝鲁奇 / 朱塞佩·苏尔法罗 / Luciano Federico,21世纪00年代,1042194
加勒比海盗,1298070,动作 / 冒险 / 奇幻,8.8,戈尔·维宾斯基,美国,约翰尼·德普 / 杰弗里·拉什 / 奥兰多·布鲁姆,21世纪00年代,918067
贫民窟的百万富翁,2209573,剧情 / 爱情,8.6,丹尼·博伊尔 / 洛芙琳·坦丹,英国,戴夫·帕特尔 / 沙鲁巴·舒克拉 / 亚尼·卡普尔,21世纪00年代,781335
何处是我朋友的家,1301897,剧情,9.0,阿巴斯·基亚罗斯塔米,伊朗,巴比·艾哈迈德·波 / 艾哈迈德·艾哈迈德·波 / 科达·巴和·迪范,20世纪80年代,40118
迷魂记,1297294,爱情 / 悬疑 / 惊悚,8.7,阿尔弗雷德·希区柯克,美国,詹姆斯·斯图尔特 / 金·诺瓦克 / 芭芭拉·贝尔·戈迪斯,20世纪50年代,150857
恋恋风尘,1292330,剧情 / 爱情,8.7,侯孝贤,中国台湾,李天禄 / 辛树芬 / 王晶文,20世纪80年代,103930
土拨鼠之日,1300613,剧情 / 喜剧 / 爱情 / 奇幻,8.6,哈罗德·雷米斯,美国,比尔·默瑞 / 安迪·麦克道威尔 / 克里斯·艾略特,20世纪90年代,229651
花火,1302642,剧情 / 爱情 / 犯罪 / 惊悚,8.6,北野武,日本,北野武 / 岸本加世子 / 大杉涟,20世纪90年代,131827
天水围的日与夜,3077668,剧情 / 家庭,8.7,许鞍华,中国香港,鲍起静 / 陈丽云 / 梁进龙,21世纪00年代,125775
雨人,1291870,剧情,8.7,巴瑞·莱文森,美国,达斯汀·霍夫曼 / 汤姆·克鲁斯 / 瓦莱丽亚·戈利诺,20世纪80年代,426625
E.T.外星人,1294638,剧情 / 科幻,8.6,史蒂文·斯皮尔伯格,美国,亨利·托马斯 / 迪·沃伦斯 / 罗伯特·麦克纳夫顿,20世纪80年代,342596
枪火,1300741,剧情 / 动作 / 犯罪,8.8,杜琪峰,中国香港,吴镇宇 / 任达华 / 黄秋生,20世纪90年代,245057
走出非洲,1291840,冒险 / 传记 / 剧情 / 爱情,8.7,西德尼·波拉克,美国,梅丽尔·斯特里普 / 罗伯特·雷德福 / 克劳斯·马利亚·布朗道尔,20世纪80年代,99385
洛城机密,1292348,剧情 / 犯罪 / 悬疑 / 惊悚,8.8,柯蒂斯·汉森,美国,凯文·史派西 / 罗素·克劳 / 盖·皮尔斯,20世纪90年代,163353
战争之王,1419936,剧情 / 犯罪,8.7,安德鲁·尼科尔,美国/德国,尼古拉斯·凯奇 / 布里吉特·莫伊纳汉 / 杰瑞德·莱托,21世纪00年代,395032
勇闯夺命岛,1292728,动作 / 冒险,8.6,迈克尔·贝,美国,肖恩·康纳利 / 尼古拉斯·凯奇 / 艾德·哈里斯,20世纪90年代,258312
遗愿清单,1867345,冒险 / 喜剧 / 剧情,8.7,罗伯·莱纳,美国,杰克·尼科尔森 / 摩根·弗里曼 / 西恩·海耶斯,21世纪00年代,503383
面子,1421278,剧情 / 喜剧 / 爱情 / 同性,8.8,伍思薇,美国,杨雅慧 / 陈冲 / 陈凌,21世纪00年代,89899
帝国的毁灭,1309115,剧情 / 传记 / 历史 / 战争,8.9,奥利弗·希施比格尔,德国/奥地利/意大利,布鲁诺·冈茨 / 亚历山德拉·玛丽亚·拉娜 / 科琳娜·哈弗奇,21世纪00年代,119580
一夜风流,1295684,喜剧 / 爱情,8.8,弗兰克·卡普拉,美国,克拉克·盖博 / 克劳黛·考尔白 / 沃尔特·康诺利,20世纪30年代,64387
万箭穿心,10537853,剧情 / 家庭,8.6,王竞,中国大陆,颜丙燕 / 陈刚 / 焦刚,21世纪10年代,261742
舞台春秋,1296659,喜剧 / 剧情 / 音乐 / 爱情,8.9,查理·卓别林,美国,查理·卓别林 / 巴斯特·基顿 / 克莱尔·布鲁姆,20世纪50年代,9946
电话谋杀案,1301231,犯罪 / 悬疑 / 惊悚,8.9,阿尔弗雷德·希区柯克,美国,雷·米兰德 / 格蕾丝·凯利 / 罗伯特·卡明斯,20世纪50年代,146116
小孩与鹰,1297920,剧情 / 儿童,8.6,肯·洛奇,英国,大卫·布拉德利 / Freddie Fletcher / 琳内·佩里,20世纪60年代,11419
热泪伤痕,1293046,剧情 / 悬疑 / 惊悚,8.7,泰勒·海克福德,美国,凯西·贝茨 / 克里斯托弗·普卢默 / 大卫·斯特雷泽恩,20世纪90年代,21509
记我的母亲,5975206,剧情,8.7,原田真人,日本,役所广司 / 树木希林 / 宫崎葵,21世纪10年代,16686
绿洲,1299582,剧情 / 爱情,8.7,李沧东,韩国,薛景求 / 文素利 / 安内相,21世纪00年代,89857
变脸,1293237,剧情,9.1,吴天明,中国大陆/中国香港,朱旭 / 周任莹 / 赵志刚,20世纪90年代,60987
遥望南方的童年,3037329,剧情,9.3,易寒,中国大陆,易志兵 / 何伟欣 / 谢媛,21世纪00年代,43747
秋日奏鸣曲,1297268,剧情 / 家庭,9.1,英格玛·伯格曼,瑞典/西德/英国,英格丽·褒曼 / 丽芙·乌尔曼 / 莱娜·尼曼,20世纪70年代,43114
鲸鱼马戏团,1416898,剧情 / 悬疑,8.7,贝拉·塔尔 / 阿尼亚斯·赫拉尼茨基,匈牙利/意大利/德国/法国,拉尔斯·鲁道夫 / 彼得·菲茨 / 汉娜·许古拉,21世纪00年代,15504
斯隆女士,26703158,剧情 / 悬疑,8.8,约翰·马登,美国/法国,杰西卡·查斯坦 / 古古·姆巴塔-劳 / 约翰·利思戈,21世纪10年代,114443
芬妮的旅程,26710657,剧情 / 战争,8.5,萝拉·多尔伦,法国/比利时,莱奥尼·西索德 / 芳汀·阿杜安 / 朱莉安娜·勒普罗,21世纪10年代,42957
世上最快的印第安摩托,1449711,传记 / 剧情 / 运动,8.9,罗杰·唐纳森,新西兰/日本/美国,安东尼·霍普金斯 / 艾伦·墨菲 / 蒂姆·夏伯特,21世纪00年代,19409
卓别林,1297368,剧情 / 传记,8.6,理查德·阿滕伯勒,英国/美国/法国/意大利,小罗伯特·唐尼 / 杰拉丁·卓别林 / 保罗·瑞斯,20世纪90年代,19981
解构爱情狂,1298385,喜剧,8.6,伍迪·艾伦,美国,伍迪·艾伦 / 罗宾·威廉姆斯 / 黛米·摩尔,20世纪90年代,41557
哈利·波特与魔法石,1295038,奇幻 / 冒险,9.2,克里斯·哥伦布,美国/英国,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特,21世纪00年代,1318463
过年,1296218,剧情 / 家庭,9.0,黄健中,中国大陆,赵丽蓉 / 李保田 / 葛优,20世纪90年代,72006
弱点,3552028,剧情 / 家庭 / 传记 / 运动,8.7,约翰·李·汉考克,美国,桑德拉·布洛克 / 蒂姆·麦格罗 / 昆东·亚伦,21世纪00年代,337253
远山的呼唤,1302605,剧情,8.8,山田洋次,日本,高仓健 / 倍赏千惠子 / 吉冈秀隆,20世纪80年代,18909
伊豆的舞女,1421733,剧情,8.6,西河克己,日本,山口百惠 / 三浦友和 / 一之宫敦子,20世纪70年代,27837
启示,1450031,动作 / 冒险 / 剧情,8.7,梅尔·吉布森,美国,鲁迪·杨布拉德 / 达利娅·埃尔南德斯 / 乔纳森·布雷维尔,21世纪00年代,112660
傲慢与偏见,1418200,剧情 / 爱情,8.7,乔·赖特,法国/英国/美国,凯拉·奈特莉 / 马修·麦克费登 / 唐纳德·萨瑟兰,21世纪00年代,866449
流星语,1294038,喜剧 / 剧情,8.5,张之亮,中国香港,张国荣 / 叶靖岚 / 狄龙,20世纪90年代,17509
百万美元宝贝,1309016,剧情 / 运动,8.8,克林特·伊斯特伍德,美国,克林特·伊斯特伍德 / 希拉里·斯万克 / 摩根·弗里曼,21世纪00年代,243479
荒岛余生,1298653,冒险 / 剧情,8.6,罗伯特·泽米吉斯,美国,汤姆·汉克斯 / 海伦·亨特 / 克里斯·诺斯,21世纪00年代,290501
昨天,1308086,传记 / 剧情 / 音乐,8.7,张杨,中国大陆,贾宏声 / 王彤 / 贾凤森,21世纪00年代,43236
母亲,2000741,剧情 / 家庭,8.5,山田洋次,日本,吉永小百合 / 浅野忠信 / 檀丽,21世纪00年代,11533
新龙门客栈,1292287,动作 / 爱情 / 武侠 / 古装,8.7,李惠民,中国香港/中国大陆,张曼玉 / 林青霞 / 梁家辉,20世纪90年代,477445
杀死一只知更鸟,1297991,剧情 / 犯罪,8.6,罗伯特·马利根,美国,格利高里·派克 / 约翰·梅根纳 / 弗兰克·奥弗顿,20世纪60年代,64044
廊桥遗梦,1293929,剧情 / 爱情,8.7,克林特·伊斯特伍德,美国,克林特·伊斯特伍德 / 梅丽尔·斯特里普 / 安妮·科利,20世纪90年代,247932
回到未来,1300555,喜剧 / 科幻 / 冒险,8.8,罗伯特·泽米吉斯,美国,迈克尔·J·福克斯 / 克里斯托弗·洛伊德 / 莉·汤普森,20世纪80年代,231902
致命ID,1297192,剧情 / 悬疑 / 惊悚,8.9,詹姆斯·曼高德,美国,约翰·库萨克 / 雷·利奥塔 / 阿曼达·皮特,21世纪00年代,892379
黑天鹅,1978709,剧情 / 惊悚,8.6,达伦·阿伦诺夫斯基,美国,娜塔莉·波特曼 / 米拉·库尼斯 / 文森特·卡塞尔,21世纪10年代,816484
朗读者,2213597,剧情 / 爱情,8.6,史蒂芬·戴德利,美国/德国,凯特·温斯莱特 / 大卫·克劳斯 / 拉尔夫·费因斯,21世纪00年代,473698
全金属外壳,1300055,剧情 / 战争,8.6,斯坦利·库布里克,英国/美国,马修·莫迪恩 / 亚当·鲍德温 / 文森特·多诺费奥,20世纪80年代,145394
光荣之路,1457219,剧情 / 传记 / 运动,8.6,詹姆斯·加特纳,美国,乔什·卢卡斯 / Wes Brown / 德里克·卢克,21世纪00年代,51858
十月的天空,1293753,传记 / 剧情 / 家庭,8.7,乔·庄斯顿,美国,杰克·吉伦哈尔 / 克里斯·库珀 / 劳拉·邓恩,20世纪90年代,48513
鸳梦重温,1293695,剧情 / 爱情,8.5,茂文·勒鲁瓦,美国,罗纳德·考尔曼 / 葛丽亚·嘉逊 / 菲利普·多恩,20世纪40年代,5009
禁闭岛,2334904,剧情 / 悬疑 / 惊悚,8.9,马丁·斯科塞斯,美国,莱昂纳多·迪卡普里奥 / 马克·鲁弗洛 / 本·金斯利,21世纪10年代,1051920
无耻混蛋,1438652,剧情 / 犯罪,8.7,昆汀·塔伦蒂诺,德国/美国,布拉德·皮特 / 梅拉尼·罗兰 / 克里斯托弗·瓦尔兹,21世纪00年代,519629
倩女幽魂,1297447,爱情 / 奇幻 / 武侠 / 古装,8.8,程小东,中国香港,张国荣 / 王祖贤 / 午马,20世纪80年代,782057
麻将,1297418,喜剧 / 剧情,8.7,杨德昌,中国台湾,柯宇纶 / 张震 / 唐从圣,20世纪90年代,56561
恐怖分子,1305261,剧情 / 犯罪,9.0,杨德昌,中国台湾,缪骞人 / 李立群 / 金士杰,20世纪80年代,83108
弗里达,1291852,传记 / 剧情 / 爱情,8.7,朱丽·泰莫,美国/墨西哥/加拿大,萨尔玛·海耶克 / 阿尔弗雷德·莫里纳 / 米娅·麦斯特罗,21世纪00年代,81944
雨月物语,1303577,剧情 / 战争 / 奇幻,8.6,沟口健二,日本,京町子 / 水户光子 / 田中绢代,20世纪50年代,30154
奇迹,4832288,剧情 / 家庭,8.8,是枝裕和,日本,前田航基 / 前田旺志郎 / 大塚宁宁,21世纪10年代,79422
永远的三丁目的夕阳2,1980825,剧情,8.7,山崎贵,日本,吉冈秀隆 / 堤真一 / 小雪,21世纪00年代,18585
瓦尔特保卫萨拉热窝,1291860,战争,8.8,哈伊鲁丁·克尔瓦瓦茨,南斯拉夫,韦利米尔·巴塔·日沃伊诺维奇 / 拉德·马尔科维奇 / 留比沙·萨马季奇,20世纪70年代,16198
光辉岁月,1292943,剧情 / 传记 / 运动,8.6,鲍兹·亚金,美国,丹泽尔·华盛顿 / 威尔·帕顿 / 伍德·哈里斯,21世纪00年代,30468
战场上的快乐圣诞,1303535,剧情 / 战争 / 同性,8.8,大岛渚,英国/新西兰/日本,大卫·鲍伊 / 汤姆·康蒂 / 坂本龙一,20世纪80年代,148241
再见，孩子们,1292586,剧情 / 战争,8.5,路易·马勒,法国/西德/意大利,加斯帕·曼尼斯 / 拉斐尔·费伊特 / 弗朗辛·拉塞特,20世纪80年代,16543
千钧一发,1300117,剧情 / 科幻 / 惊悚,8.8,安德鲁·尼科尔,美国,伊桑·霍克 / 乌玛·瑟曼 / 裘德·洛,20世纪90年代,326589
2001太空漫游,1292226,科幻 / 惊悚 / 冒险,8.9,斯坦利·库布里克,英国/美国,凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特,20世纪60年代,366130
我们天上见,3732800,剧情 / 家庭,8.7,蒋雯丽,中国大陆,朱旭 / 姚君 / 朱一诺,21世纪00年代,80404
费城故事,1293145,剧情 / 同性,8.7,乔纳森·戴米,美国,汤姆·汉克斯 / 丹泽尔·华盛顿 / 罗伯塔·马克斯韦尔,20世纪90年代,103025
杀人回忆,1300299,剧情 / 动作 / 犯罪 / 悬疑 / 惊悚,8.9,奉俊昊,韩国,宋康昊 / 金相庆 / 金雷夏,21世纪00年代,782129
非常嫌疑犯,1292214,犯罪 / 悬疑 / 惊悚,8.6,布莱恩·辛格,德国/美国,史蒂芬·鲍德温 / 加布里埃尔·伯恩 / 本尼西奥·德尔·托罗,20世纪90年代,273240
蝴蝶,1292056,剧情 / 儿童 / 喜剧,8.6,费利普·弥勒,法国,米歇尔·塞罗尔 / 柯莱儿·布翁尼许 / 娜德·蒂约,21世纪00年代,122117
真爱至上,1292401,喜剧 / 剧情 / 爱情,8.5,理查德·柯蒂斯,英国/美国/法国,休·格兰特 / 连姆·尼森 / 科林·费尔斯,21世纪00年代,773543
曼联重生,5383158,剧情 / 历史 / 运动,8.5,詹姆斯·斯特朗,英国,大卫·田纳特 / 杰克·奥康奈尔 / 山姆·克拉弗林,21世纪10年代,8843
蝙蝠侠：黑暗骑士崛起,3395373,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,8.9,克里斯托弗·诺兰,美国/英国,克里斯蒂安·贝尔 / 汤姆·哈迪 / 安妮·海瑟薇,21世纪10年代,772581
理查二世,6753589,剧情 / 历史,8.7,鲁伯特·古尔德,英国,本·卫肖 / 克蕾曼丝·波西 / 帕特里克·斯图尔特,21世纪10年代,16787
亨利四世：第二部分,10543906,剧情 / 历史,8.6,理查德·艾尔,英国,杰瑞米·艾恩斯 / 汤姆·希德勒斯顿 / 西蒙·拉塞尔·比尔,21世纪10年代,9046
亨利四世：第一部分,10441064,剧情 / 历史,8.6,理查德·艾尔,英国/美国,杰瑞米·艾恩斯 / 汤姆·希德勒斯顿 / 西蒙·拉塞尔·比尔,21世纪10年代,11134
赛德克·巴莱,3993559,剧情 / 历史 / 战争,8.8,魏德圣,中国台湾,林庆台 / 马志翔 / 安藤政信,21世纪10年代,192841
赛德克·巴莱(下)：彩虹桥,6393127,剧情 / 历史 / 战争,8.9,魏德圣,中国台湾,马志翔 / 温岚 / 田中千绘,21世纪10年代,97889
与玛格丽特的午后,3796613,喜剧,9.1,让·贝克,法国,热拉尔·德帕迪约 / 吉赛勒·卡扎德絮 / 帕特里克·伯利奇,21世纪10年代,105786
这里的黎明静悄悄,1303075,剧情 / 历史 / 战争,8.7,斯坦尼斯拉夫·罗斯托茨基,苏联,安德烈·马尔蒂诺夫 / 伊琳娜·多尔加诺娃 / 伊莲娜·德罗佩科,20世纪70年代,13088
焦土之城,4935242,剧情 / 战争 / 悬疑,8.6,丹尼斯·维伦纽瓦,加拿大/法国,卢巴纳·阿兹巴尔 / 梅丽莎·德索蒙斯-波林 / 马克西姆·高德特,21世纪10年代,78009
爱,4798707,剧情 / 爱情,8.6,迈克尔·哈内克,法国/德国/奥地利,让-路易·特兰蒂尼昂 / 埃玛妞·丽娃 / 伊莎贝尔·于佩尔,21世纪10年代,93903
悲惨世界,6860160,剧情 / 爱情 / 歌舞,8.7,汤姆·霍伯,英国/美国,休·杰克曼 / 罗素·克劳 / 安妮·海瑟薇,21世纪10年代,354206
一级谋杀,1293373,剧情 / 惊悚,8.6,马可·罗科,法国/美国,克里斯蒂安·史莱特 / 凯文·贝肯 / 加里·奥德曼,20世纪90年代,10202
横道世之介,10484041,剧情 / 爱情,8.8,冲田修一,日本,高良健吾 / 吉高由里子 / 池松壮亮,21世纪10年代,186786
安全至下,1303388,喜剧 / 爱情 / 惊悚,8.9,弗雷德·C·纽迈尔 / 山姆·泰勒,美国,哈罗德·劳埃德 / 米尔德丽德·戴维斯 / 比尔·斯特罗瑟,20世纪20年代,12865
同流者,1300955,剧情,8.6,贝纳尔多·贝托鲁奇,意大利/法国/西德,让-路易·特兰蒂尼昂 / 斯特法尼娅·桑德雷莉 / 加斯通·莫辛,20世纪70年代,14591
烈焰焚币,1306454,剧情 / 爱情 / 犯罪 / 惊悚 / 同性,8.6,马西路·品尼路,阿根廷/西班牙/乌拉圭,莱昂纳多·斯巴拉格利亚 / 爱德华多·诺列加 / 巴勃罗·埃查里,21世纪00年代,24677
特工,26683421,剧情,8.8,尹钟彬,韩国,黄政民 / 李星民 / 赵震雄,21世纪10年代,224917
花样年华,1291557,剧情 / 爱情,8.8,王家卫,中国香港,梁朝伟 / 张曼玉 / 潘迪华,21世纪00年代,663224
战争与和平,1307067,剧情 / 历史 / 爱情 / 战争,9.2,谢尔盖·邦达尔丘克,苏联,谢尔盖·邦达尔丘克 / 柳德米拉·萨维里耶娃 / 维亚切斯拉夫·吉洪诺夫,20世纪60年代,16349
82年生的金智英,30327842,剧情,8.6,金度英,韩国,郑裕美 / 孔刘 / 金美卿,21世纪10年代,387449
燃烧女子的肖像,30257175,剧情 / 爱情 / 同性,8.7,瑟琳·席安玛,法国,诺米·梅兰特 / 阿黛拉·哈内尔 / 卢安娜·巴杰拉米,21世纪10年代,239219
特写,1303521,犯罪 / 剧情,8.9,阿巴斯·基亚罗斯塔米,伊朗,Hossain Sabzian / 莫森·玛克玛尔巴夫 / Abolfazl Ahankhah,20世纪90年代,24220
隐藏人物,26615208,剧情 / 传记 / 历史,8.9,西奥多·梅尔菲,美国,塔拉吉·P·汉森 / 奥克塔维亚·斯宾瑟 / 加奈儿·梦奈,21世纪10年代,245318
再次出发之纽约遇见你,6874403,喜剧 / 爱情 / 音乐,8.6,约翰·卡尼,美国,凯拉·奈特莉 / 马克·鲁弗洛 / 亚当·莱文,21世纪10年代,450735
阮玲玉,1293414,传记 / 剧情 / 爱情,8.6,关锦鹏,中国香港,张曼玉 / 梁家辉 / 秦汉,20世纪90年代,129655
发条橙,1292233,犯罪 / 剧情 / 科幻,8.6,斯坦利·库布里克,英国/美国,马尔科姆·麦克道威尔 / 帕特里克·马基 / 迈克尔·贝茨,20世纪70年代,391511
大红灯笼高高挂,1293323,剧情,8.8,张艺谋,中国大陆/中国香港/中国台湾,巩俐 / 马精武 / 何赛飞,20世纪90年代,328749
汉密尔顿,34961898,历史 / 歌舞,9.5,托马斯·凯尔,美国,林-曼努尔·米兰达 / 小莱斯利·奥多姆 / 戴维德·迪格斯,21世纪20年代,83280
无间道2,1307106,剧情 / 犯罪 / 惊悚,8.8,刘伟强 / 麦兆辉,中国香港,陈冠希 / 余文乐 / 曾志伟,21世纪00年代,528458
青蛇,1303394,剧情 / 爱情 / 奇幻 / 古装,8.6,徐克,中国香港/中国大陆,张曼玉 / 王祖贤 / 赵文卓,20世纪90年代,561689
党同伐异,1295287,剧情 / 历史 / 爱情,8.7,大卫·格里菲斯,美国,丽莲·吉许 / 梅·马什 / 罗伯特·哈伦,20世纪10年代,12728
巴里·林登,1292472,剧情 / 爱情 / 战争,8.8,斯坦利·库布里克,英国/美国,瑞安·奥尼尔 / 马里莎·贝伦森 / 帕特里克·马基,20世纪70年代,47382
牧马人,1308038,剧情 / 爱情,9.1,谢晋,中国大陆,朱时茂 / 丛珊 / 刘琼,20世纪80年代,95566
杀死比尔：整个血腥事件,10756537,动作 / 犯罪,8.7,昆汀·塔伦蒂诺,美国,乌玛·瑟曼 / 迈克尔·鲍文 / 大卫·卡拉丁,21世纪10年代,43261
寂静人生,10755367,剧情,9.0,乌贝托·帕索里尼,英国/意大利,埃迪·马森 / 琼安·弗洛加特 / 安德鲁·巴肯,21世纪10年代,69841
夜,1361252,剧情 / 爱情,8.7,米开朗基罗·安东尼奥尼,意大利/法国,马塞洛·马斯楚安尼 / 让娜·莫罗 / 莫妮卡·维蒂,20世纪60年代,17565
人工智能,1302827,剧情 / 科幻,8.7,史蒂文·斯皮尔伯格,美国/英国,海利·乔·奥斯蒙 / 弗兰西丝·奥康纳 / 山姆·洛巴兹,21世纪00年代,477245
芝加哥,1307697,喜剧 / 歌舞 / 犯罪,8.9,罗伯·马歇尔,美国/德国,泰雅·迪格斯 / 凯瑟琳·泽塔-琼斯 / 蕾妮·齐薇格,21世纪00年代,175694
芝加哥七君子审判,2609258,剧情 / 历史,8.6,艾伦·索金,美国/英国/印度,埃迪·雷德梅恩 / 艾利克斯·夏普 / 萨莎·拜伦·科恩,21世纪20年代,99656
西线无战事,1295116,剧情 / 动作 / 历史 / 战争,8.9,刘易斯·迈尔斯通,美国,路易斯·沃海姆 / 刘·艾尔斯 / 约翰·雷,20世纪30年代,31109
飞向太空,1300977,剧情 / 科幻 / 悬疑,8.7,安德烈·塔可夫斯基,苏联,纳塔莉亚·邦达尔丘克 / 多纳塔斯•巴尼奥尼斯 / 尤里·贾维特,20世纪70年代,40998
潜行者,1295656,剧情 / 科幻 / 悬疑,8.8,安德烈·塔可夫斯基,苏联,亚历山大·凯伊达诺夫斯基 / 阿丽萨·弗雷因德利赫 / 安纳托利·索洛尼岑,20世纪70年代,38222
牺牲,1294531,剧情,8.7,安德烈·塔可夫斯基,瑞典/法国/英国,厄兰·约瑟夫森 / 苏珊·弗利特伍德 / 艾伦·埃德渥,20世纪80年代,19325
盲山,2063528,剧情 / 犯罪,8.8,李杨,中国大陆,黄璐 / 杨幼安 / 贺运乐,21世纪00年代,194427
小树的故事,1305814,剧情,8.5,理查德·弗雷登伯格,加拿大,约瑟夫·阿什顿 / 詹姆斯·克伦威尔 / 坦图·卡丁诺,20世纪90年代,9818
天狗,1947270,剧情,8.8,戚健,中国大陆,富大龙 / 朱媛媛 / 刘子枫,21世纪00年代,42363
九品芝麻官,1297518,剧情 / 喜剧 / 古装,8.7,王晶,中国香港/中国大陆,周星驰 / 吴孟达 / 张敏,20世纪90年代,742982
铁达尼号沉没记,1296542,剧情 / 动作 / 历史 / 爱情 / 灾难,8.6,罗伯特·里伯曼,加拿大/美国,彼得·盖勒 / 凯瑟琳·泽塔-琼斯 / 乔治·C·斯科特,20世纪90年代,6517
黑水,30331959,剧情,8.6,托德·海因斯,美国,马克·鲁弗洛 / 安妮·海瑟薇 / 蒂姆·罗宾斯,21世纪10年代,140700
阿郎的故事,1293315,剧情 / 家庭,8.5,杜琪峰,中国香港,周润发 / 张艾嘉 / 黄坤玄,20世纪80年代,123302
八部半,1361276,剧情,8.6,费德里科·费里尼,意大利/法国,马塞洛·马斯楚安尼 / 克劳迪娅·卡汀娜 / 阿努克·艾梅,20世纪60年代,68873
误杀瞒天记,26419637,剧情 / 犯罪 / 悬疑,8.6,尼西卡特·卡马特,印度,阿贾耶·德乌干 / 塔布 / 施芮娅·萨兰,21世纪10年代,274929
困在时间里的父亲,33432655,剧情,8.6,佛罗莱恩·泽勒,英国/法国,安东尼·霍普金斯 / 奥利维娅·科尔曼 / 马克·加蒂斯,21世纪20年代,275600
冒牌上尉,27114240,剧情 / 历史 / 战争,8.6,罗伯特·施文特克,德国/波兰/法国,麦克斯·胡巴赫 / 米兰·佩舍尔 / 弗雷德里克·劳,21世纪10年代,91055
喜丧,26671361,剧情 / 家庭,8.8,张涛,中国大陆/中国香港/法国,郁凤云 / 王士兰 / 李宝明,21世纪10年代,34390
达拉斯买家俱乐部,1793929,剧情 / 传记 / 同性,8.8,让-马克·瓦雷,美国,马修·麦康纳 / 詹妮弗·加纳 / 杰瑞德·莱托,21世纪10年代,482899
阿Q正传,1306506,剧情,8.8,岑范,中国大陆,严顺开 / 王苏娅 / 李纬,20世纪80年代,42013
隐藏的恋情,1946786,剧情 / 爱情 / 战争 / 同性,8.6,克里斯蒂安·富尔,法国,杰瑞米·雷乃 / 露易丝·莫诺特 / 布鲁诺·托德契尼,21世纪00年代,10563
大宅门,5301572,剧情 / 爱情 / 传记,9.3,郭宝昌,中国大陆,斯琴高娃 / 陈宝国 / 刘佩琦,21世纪00年代,14633
黑客帝国3：矩阵革命,1302467,动作 / 科幻,8.8,拉娜·沃卓斯基 / 莉莉·沃卓斯基,美国,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯,21世纪00年代,474331
花束般的恋爱,34874432,剧情 / 爱情,8.6,土井裕泰,日本,菅田将晖 / 有村架纯 / 细田佳央太,21世纪20年代,735126
爆裂鼓手,25773932,剧情 / 音乐,8.6,达米恩·查泽雷,美国,迈尔斯·特勒 / J·K·西蒙斯 / 保罗·雷瑟,21世纪10年代,633102
姊姊妹妹站起来,2208890,剧情,9.2,陈西禾,中国大陆,梁明 / 李纬 / 石挥,20世纪50年代,21012
红鳉鱼,26266892,剧情 / 传记,9.0,高畑秀太,日本,二宫和也 / 北野武 / 宫川大辅,21世纪10年代,47349
死者田园祭,1366165,剧情 / 奇幻,8.8,寺山修司,日本,菅贯太郎 / 高野浩幸 / 八千草薰,20世纪70年代,27806
我是古巴,1432669,剧情,9.1,米哈伊尔·卡拉托佐夫,苏联/古巴,塞吉欧·柯瑞里 / Salvador Wood / José Gallardo,20世纪60年代,18421
街角的商店,1299166,喜剧 / 爱情 / 剧情,8.7,恩斯特·刘别谦,美国,玛格里特·苏利文 / 詹姆斯·斯图尔特 / 弗兰克·摩根,20世纪40年代,17633
倒扣的王牌,1293841,剧情 / 黑色电影,8.7,比利·怀尔德,美国,柯克·道格拉斯 / 简·斯特林 / 罗伯特·亚瑟,20世纪50年代,18817
小偷,1295991,剧情,8.6,帕维尔·丘赫莱伊,俄罗斯/法国,弗拉基米尔·马什科夫 Vladimir Mashkov / 叶卡捷琳娜·列德尼科娃 / 米沙·菲利普丘克,20世纪90年代,7864
天国与地狱,1293663,剧情 / 犯罪,8.8,黑泽明,日本,三船敏郎 / 仲代达矢 / 香川京子,20世纪60年代,20583
大菩萨岭,1440164,剧情 / 动作,8.6,冈本喜八,日本,仲代达矢 / 新珠三千代 / 加山雄三,20世纪60年代,15654
