names,ids,types,grade,director,addr,actor,year,comment
窃听风暴,1900841,剧情 / 悬疑,9.2,弗洛里安·亨克尔·冯·多纳斯马尔克,德国,乌尔里希·穆埃 / 马蒂娜·格德克 / 塞巴斯蒂安·科赫,21世纪00年代,603618
穿条纹睡衣的男孩,3008247,剧情 / 战争,9.2,马克·赫尔曼,英国/美国,阿萨·巴特菲尔德 / 维拉·法米加 / 卡拉·霍根,21世纪00年代,609106
美国往事,1292262,犯罪 / 剧情,9.1,赛尔乔·莱昂内,美国/意大利,罗伯特·德尼罗 / 詹姆斯·伍兹 / 伊丽莎白·麦戈文,20世纪80年代,445558
小鞋子,1303021,剧情 / 儿童 / 家庭,9.2,马基德·马基迪,伊朗,默罕默德·阿米尔·纳吉 / 法拉赫阿米尔·哈什米安 / 巴哈丽·西迪奇,20世纪90年代,439650
忠犬八公物语,1959195,剧情,9.2,神山征二郎,日本,仲代达矢 / 八千草薰 / 柳叶敏郎,20世纪80年代,208598
芙蓉镇,1297880,剧情 / 爱情,9.3,谢晋,中国大陆,刘晓庆 / 姜文 / 郑在石,20世纪80年代,165932
黄金三镖客,1401118,冒险 / 西部,9.3,赛尔乔·莱昂内,意大利/西班牙/西德,克林特·伊斯特伍德 / 伊莱·瓦拉赫 / 李·范·克里夫,20世纪60年代,132355
沉静如海,1769507,剧情 / 爱情 / 战争,9.1,皮埃尔·布特龙,法国/比利时,朱莉·德拉姆 / 米歇尔·加拉布吕 / 托马斯·儒阿特,21世纪00年代,105100
大独裁者,1295646,喜剧 / 剧情 / 战争,9.2,查理·卓别林,美国,查理·卓别林 / 宝莲·高黛 / 杰克·奥克,20世纪40年代,86943
无间道(正序版),4860078,剧情 / 犯罪,9.2,刘伟强 / 麦兆辉,中国香港,刘德华 / 梁朝伟 / 黎明,21世纪00年代,81584
地下,1292206,剧情 / 战争,9.2,埃米尔·库斯图里卡,南斯拉夫/法国/德国/保加利亚/捷克/匈牙利/英国/美国,米基·马诺伊洛维奇 / 拉扎尔·里斯托夫斯基 / 米里亚娜·约科维奇,20世纪90年代,75195
淘金记,1298817,喜剧 / 爱情 / 西部 / 冒险,9.2,查理·卓别林,美国,查理·卓别林 / 马克·斯旺 / 汤姆·默里,20世纪20年代,64015
洞,1424334,犯罪 / 剧情 / 惊悚,9.2,雅克·贝克,法国/意大利,马克·米歇尔 / 吉恩·凯乐蒂 / 菲利普·勒鲁瓦,20世纪60年代,57023
你逃我也逃,1303418,喜剧 / 爱情 / 战争,9.2,恩斯特·刘别谦,美国,卡洛·朗白 / 杰克·本尼 / 罗伯特·斯塔克,20世纪40年代,54199
寻子遇仙记,1293270,剧情 / 喜剧 / 家庭,9.2,查理·卓别林,美国,查理·卓别林 / 卡尔米勒 / 艾德娜·珀薇安丝,20世纪20年代,48135
天堂回信,1418076,剧情 / 儿童,9.2,王君正,中国大陆,石晨 / 李丁 / 肖雄,20世纪90年代,49474
生之欲,1293847,剧情,9.3,黑泽明,日本,志村乔 / 日守新一 / 田中春男,20世纪50年代,48240
十二怒汉,1293989,剧情 / 犯罪,9.3,威廉·弗莱德金,美国,考特尼·万斯 / 奥西·戴维斯 / 乔治·C·斯科特,20世纪90年代,36933
马戏团,1299628,喜剧 / 爱情,9.2,查理·卓别林,美国,查理·卓别林 / 阿尔·欧内斯特·加西亚 / 梅尔纳·肯尼迪,20世纪20年代,26363
